"ITFAIYE_BIRIM_ADI";"ITFAIYE_LOKASYON";"ENLEM";"BOYLAM"
KAĞITHANE KOMUTA AMİRLİĞİ;İTFAİYE BİNALARI-KAĞITHANE İTFAİYE KOMUTA AMİRLİĞİ;41.092859000000000;28.965914000000000
BAKIRKÖY GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BAKIRKÖY GRUP AMİRLİĞİ;40.963924000000000;28.803446000000000
KOCASİNAN GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BAHÇELİEVLER KOCASINAN GRUP AMİRLİĞİ;41.014162000000000;28.836989000000000
BAĞCILAR GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BAĞCILAR GRUP AMİRLİĞİ;41.033317000000000;28.860658000000000
GOP GRUP AMİRLİĞİ;İTFAİYE BİNALARI-G.O.PASA GRUP AMİRLİĞİ;41.078824000000000;28.893566000000000
BAYRAMPAŞA GRUP AMİRLİĞİ;İTFAİYE BİNALARI-B.PAŞA GRUP AMİRLİĞİ;41.032333000000000;28.912308000000000
AVCILAR GRUP AMİRLİĞİ;İTFAİYE BİNALARI-AVCILAR GRUP AMİRLİĞİ;40.993532000000000;28.712672000000000
BEYLİKDÜZÜ GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BEYLİKDÜZÜ GRUP AMİRLİĞİ;40.998405000000000;28.643135000000000
MİMAR SİNAN GRUP AMİRLİĞİ;İTFAİYE BİNALARI-B.ÇEKMECE MİMARSİNAN GRUP AMİRLİĞİ;41.014837000000000;28.544975000000000
ÇATALCA GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ÇATALCA GRUP AMİRLİĞİ;41.134200000000000;28.467879000000000
SELİMPAŞA MÜFREZESİ;İTFAİYE BİNALARI-SİLİVRİ SELİMPAŞA GRUP AMİRLİĞİ;41.055308000000000;28.364190000000000
BAHÇELİEVLER İBİTEM;İTFAİYE BİNALARI-BAHÇELİEVLER İBİTEM;41.029882000000000;28.828051000000000
ARNAVUTKÖY GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ARNAVUTKÖY GRUP AMİRLİĞİ;41.184062000000000;28.734923000000000
BEYOĞLU GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BEYOĞLU BEYOGLU GRUP AMİRLİĞİ;41.047743000000000;28.989398000000000
İSTİNYE GRUP AMİRLİĞİ;İTFAİYE BİNALARI-SARIYER ISTINYE GRUP AMİRLİĞİ;41.114869000000000;29.054754000000000
BAHÇELİEVLER AMBAR;İTFAİYE BİNALARI-BAHÇELİEVLER AMBAR;41.014156000000000;28.837110000000000
ŞİŞLİ GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ŞİŞLİ GRUP AMİRLİĞİ;41.058067000000000;28.966381000000000
BEŞİKTAŞ GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BEŞİKTAŞ GRUP AMİRLİĞİ;41.049100000000000;29.019092000000000
DESTEK HİZMETLERİ MÜD.;İTFAİYE BİNALARI-FATİH DEST. HİZ. MÜDÜRLÜK;41.009009000000000;28.933375000000000
FATİH AVRUPA YAKASI MÜD.;İTFAİYE BİNALARI-FATİH İTF. AVRUPA YAKASI MÜDÜRLÜK;41.015964000000000;28.953373000000000
FATİH ACİL YARDIM VE CAN KURTARMA;İTFAİYE BİNALARI-FATİH ACİL YARDIM VE CAN KURTARMA MÜD.;41.026433000000000;28.929054000000000
ESENLER BAKIM ONARIM;İTFAİYE BİNALARI-ESENLER BAKIM ONARIM;41.064445000000000;28.867206000000000
KAĞITHANE SADABAT MÜFREZESİ;İTFAİYE BİNALARI-KAĞITHANE SADABAT MÜFREZESİ;41.065618000000000;28.955920000000000
ALİBEYKÖY MÜFREZESİ;İTFAİYE BİNALARI-EYÜP ALIBEYKÖY MÜFREZESİ;41.079826000000000;28.937283000000000
BALAT MÜFREZESİ;İTFAİYE BİNALARI-FATİH BALAT MÜFREZESİ;41.022431000000000;28.934964000000000
